ch_no,ch_title,number,location,name,summary
2,Amplifying Transformations,2.2,Mongolia,Unknown,Unknown,
2,Amplifying Transformations,2.3,China,Unknown,Unknown,
6,Public Payments - Government Payments,6.1,United States,CRP ( Conservation Reserve Program ),"Farmers whose land-use decisions and management practices affect water quality, soil loss and wildlife habitat are the ecosystem service suppliers. Eligible farmers who choose to enroll in CRP are compensated.",
6,Public Payments - Government Payments,6.2,United States,New York City’s Water Supply,"New York City’s water system provides 4.5 million cubic meters of water per day to over 9 million people in and around the city. All of the water comes from surface sources: three watersheds located 80-200 km outside the city – the Croton, Catskill and Delaware watersheds. New York City initially provided USD 350 million in funding in 1997 for a variety of activities aimed at maintaining water quality of the upstream watersheds. To date, the city has spent approximately USD 1.5 billion in total.",
6,Public Payments - Government Payments,6.3,South Africa,Working for Water in South Africa,"Water scarcity is a major challenge for the country of South Africa. Invasive alien plants in South Africa, including trees such as pines, eucalyptus and wattles, as well as riparian woody species, use more water than the native vegetation they replace. Compensation is provided to the people who clear the plants.",
7,Regulatory-Driven Mitigation,7.1,United States,"Green Infrastructure Investment for Stormwater Management in Washington, DC","In the absence of stormwater management infrastructure (either nature-based “green” infrastructure or engineered “grey” infrastructure), stormwater that lands on roofs and paved surfaces picks up sediment, oil and other pollutants and washes them into sewers, which then flow to DC’s three rivers (the Potomac, Anacostia and Rock Creek) and into the Chesapeake Bay. When high volumes of water end up in streams after storms, this erodes stream channels, and the sediment is carried downstream, degrading aquatic habitat. Under DC’s stormwater regulations, regulated development projects are required to retain a certain amount of stormwater (Stormwater Retention Volume or SWRv). ",
7,Regulatory-Driven Mitigation,7.2,United States,Wetlands Mitigation Banking in the United States,"More than 50% of the wetlands in the continental United States have been drained, filled and converted to development, agriculture and other uses that were traditionally considered more economically productive. In the 200 years between 1780 and 1980, wetlands were lost at an average rate of 25 hectares per hour, and the state of California lost more than 90% of its wetlands. Mitigation banks restore, create or enhance wetland habitat and functions.",
7,Regulatory-Driven Mitigation,7.3,United States,Conservation Banking in California,"Inspired by the wetlands mitigation banking associated with the federal Clean Water Act in the United States (Case 2 in this chapter), the state of California created its own conservation banking program for threatened and endangered species and habitats.",
7,Regulatory-Driven Mitigation,7.4,United States,Carbon Markets in California,"As defined under AB-32’s Forest Offsets program, the ecosystem service suppliers are parties that choose to undertake emission reduction projects and sell the credits they generate to companies regulated under AB-32. Close to 800,000 hectares within 59 forest management projects across the continental United States have been approved to sell offset credits under California cap-and-trade market for greenhouse gas emissions.",
8,Voluntary Conservation,8.1,Brazil,ARPA (Amazon Region Protected Areas Program) with the Transition Fund,"The Brazilian Amazon, which includes around 60% of the total Amazon forest, has lost nearly 20% of its forest cover since 1970, a result of logging, agricultural expansion and other development. This amounts to a loss of over 750,000 km2. ARPA donors created a Transition Fund, a long-term sinking fund, designed to cover recurrent costs of ARPA for 25 years. The fund has a target of USD 215 million, with nearly USD 211 million committed as of May 2016.",
